Chemical,Count
CHEMBL2012946,2
CHEMBL122617,1
CHEMBL1929344,2
CHEMBL242290,2
CHEMBL446254,1
CHEMBL244872,2
CHEMBL488771,2
CHEMBL1928936,7
CHEMBL1928941,7
CHEMBL1939731,1
CHEMBL1256751,7
CHEMBL101,6
CHEMBL1256735,7
CHEMBL282489,7
CHEMBL1255585,7
CHEMBL1255782,14
CHEMBL219708,6
CHEMBL3349457,3
CHEMBL1927691,2
CHEMBL1170605,2
CHEMBL1170392,2
CHEMBL1770842,2
CHEMBL1256755,7
CHEMBL1256660,7
CHEMBL1257012,7
CHEMBL1200332,7
CHEMBL786,7
CHEMBL185,7
CHEMBL34241,7
CHEMBL1200636,6
CHEMBL4163274,2
CHEMBL54976,4
CHEMBL556001,6
CHEMBL1370663,5
CHEMBL61,9
CHEMBL1079905,6
CHEMBL1256672,4
CHEMBL1586,2
CHEMBL1222317,7
CHEMBL1275,7
CHEMBL5281040,2
CHEMBL5286713,2
CHEMBL537,5
CHEMBL1356607,5
CHEMBL337309,6
CHEMBL1256786,4
CHEMBL1256796,6
CHEMBL1256923,2
CHEMBL52030,2
CHEMBL9843,2
CHEMBL1451880,2
CHEMBL448741,3
CHEMBL852,7
CHEMBL56542,7
CHEMBL429095,7
CHEMBL13698,2
CHEMBL1201020,2
CHEMBL1200586,1
CHEMBL1255868,1
CHEMBL300555,4
CHEMBL1256359,4
CHEMBL710,3
CHEMBL1256958,4
CHEMBL555670,3
CHEMBL1256809,5
CHEMBL418509,2
CHEMBL576349,4
CHEMBL1256974,3
CHEMBL598952,2
CHEMBL1557,3
CHEMBL224434,1
CHEMBL223113,1
CHEMBL219916,7
CHEMBL1171055,1
CHEMBL46516,7
CHEMBL1256797,3
CHEMBL25236,7
CHEMBL86676,5
CHEMBL1256400,7
CHEMBL1256998,7
CHEMBL1171067,3
CHEMBL1172012,2
CHEMBL19980,7
CHEMBL440898,3
CHEMBL149751,2
CHEMBL389921,1
CHEMBL5273047,2
CHEMBL601541,2
CHEMBL5277809,2
CHEMBL486088,1
CHEMBL519882,1
CHEMBL221741,4
CHEMBL502765,2
CHEMBL394752,3
CHEMBL447806,1
CHEMBL2017318,1
CHEMBL2029590,1
CHEMBL2029746,1
CHEMBL2029753,1
CHEMBL2017314,1
CHEMBL2017472,1
CHEMBL2017476,1
CHEMBL2017477,1
CHEMBL504412,1
CHEMBL525005,1
CHEMBL507687,3
CHEMBL451728,1
CHEMBL2030036,2
CHEMBL2030052,2
CHEMBL2023446,2
CHEMBL2023447,2
CHEMBL2023445,2
CHEMBL520569,2
CHEMBL2030028,2
CHEMBL349184,1
CHEMBL2169981,2
CHEMBL2169977,2
CHEMBL317364,13
CHEMBL2030329,2
CHEMBL187926,2
CHEMBL495687,1
CHEMBL2047182,2
CHEMBL496377,4
CHEMBL498011,4
CHEMBL498010,8
CHEMBL495958,2
CHEMBL522731,3
CHEMBL2030013,2
CHEMBL2030012,2
CHEMBL2029824,1
CHEMBL2030020,1
CHEMBL2030019,1
CHEMBL3216228,1
CHEMBL3216890,1
CHEMBL3215568,1
CHEMBL537586,3
CHEMBL407309,4
CHEMBL260852,4
CHEMBL260608,4
CHEMBL3216426,1
