Scaffold,count
O=C(C=Cc1ccccc1)c1ccc(OCc2cn(C3COC(n4ccc(=O)[nH]c4=O)C3)nn2)cc1,15
c1ccc(Nc2cc3[nH]c(Nc4ccc(N5CCNCC5)cn4)nc3cn2)cc1,15
c1ccc2c(NCCCNCCC34CC5CC(CC(C5)C3)C4)ccnc2c1,15
c1ccc(Nc2ccnc3ncnn23)cc1,15
O=C(C=Cc1ccccc1)c1cccc2ccccc12,15
c1ccc(-c2ncnc3ccccc23)cc1,15
O=C(Nc1ccccc1)OC1CCc2ccccc2C1,15
C(#CC1CN2CCC1CC2)c1ccccc1,15
O=C(Nc1ccccc1)Nc1ccccc1,15
O=c1c(-c2ccc(Oc3ccccc3)cc2)c[nH]c2ccccc12,15
c1ccc(C[n+]2ccc3c(c2)[nH]c2ccccc23)cc1,15
