Document ChEMBL ID,year
CHEMBL2434967,2013.0
CHEMBL1149610,2007.0
CHEMBL5321198,2023.0
CHEMBL3763067,2016.0
CHEMBL3414444,2015.0
CHEMBL4184117,2018.0
CHEMBL1144579,2007.0
CHEMBL1142150,2007.0
CHEMBL1143259,2008.0
CHEMBL1136644,2003.0
CHEMBL1140735,2008.0
CHEMBL4130402,2017.0
CHEMBL1137548,2007.0
CHEMBL4622966,2020.0
CHEMBL3576762,2015.0
CHEMBL3992514,2017.0
CHEMBL5360550,2023.0
CHEMBL5370614,2023.0
CHEMBL1148505,2006.0
CHEMBL3414483,2015.0
CHEMBL3421610,2015.0
CHEMBL4339222,2019.0
CHEMBL4138210,2018.0
CHEMBL1777784,2011.0
CHEMBL1777678,2011.0
CHEMBL3217701,2012.0
CHEMBL1240313,2006.0
CHEMBL3792287,2016.0
CHEMBL3351943,2014.0
CHEMBL3352076,2014.0
CHEMBL3797182,2016.0
CHEMBL3813669,2016.0
CHEMBL3392980,2015.0
CHEMBL1137345,2006.0
CHEMBL3351235,2014.0
CHEMBL2069175,2012.0
CHEMBL1150779,2008.0
CHEMBL2057190,2012.0
CHEMBL4732239,2021.0
CHEMBL1149817,2008.0
